feature,frequency
volatility_5,1.0
pct_change,0.9444444444444444
MACD,0.6666666666666666
high_low_pct,0.9444444444444444
MA10,0.2222222222222222
close_position,0.9444444444444444
EMA12,0.2777777777777778
volume_ratio,1.0
BB_pct,0.8333333333333334
RSI,0.8333333333333334
BB_upper,0.3333333333333333
volatility_20,0.8888888888888888
ATR,0.7222222222222222
MACD_signal,0.6666666666666666
llm_score,1.0
MA5,0.5555555555555556
BB_width,0.7222222222222222
BB_lower,0.3333333333333333
MACD_hist,0.9444444444444444
MA60,0.2222222222222222
BB_middle,0.3333333333333333
MA20,0.4444444444444444
EMA26,0.16666666666666666
