,A_sh.601688_华泰证券,A_sh.600030_中信证券,A_sz.000001_平安银行,A_sz.000333_美的集团,US_MSFT_MSFT,A_sh.601012_隆基绿能,A_sz.000858_五粮液,A_sz.300750_宁德时代,A_sz.002142_宁波银行,US_NVDA_NVDA,US_AAPL_AAPL,A_sh.600519_贵州茅台,A_sz.000568_泸州老窖,A_sz.000651_格力电器,A_sh.600887_伊利股份,A_sz.300059_东方财富,A_sz.002594_比亚迪,A_sh.600036_招商银行
volatility_5,0.9482612320025915,0.4224507147242003,0.6324610582466085,0.4118627402482319,0.5781717430660027,0.4364222419459941,0.5927950546194378,0.4008425564814363,0.6031734327908949,0.6116242622458872,0.5213496701535812,0.4943807200294759,0.43601867306466807,0.44952532424134883,0.7402269014673157,0.34917006336957596,0.49999998836817094,0.49999998916779853
pct_change,0.8635364790896374,0.49999999064434636,0.3972808535539385,0.7163561634384723,0.4999999880354472,0.40891836591618314,0.464594088768364,0.6609217603439296,0.45548479312812107,0.47429855068636717,0.4264216289841083,0.49999998816989244,0.4548145042298372,0.7754189969669272,0.615974863461863,0.9273713320715464,0.4288442345315908,0.45192852239359477
MACD,0.8484340066568685,0.33948714695459703,0.45741931970158156,0.3179197244519731,0.4060797642872658,0.8852221773789635,0.47397448257728686,0.29996948603557383,0.341270561531244,0.3877705197494664,0.5930078691807198,0.547814240254253,0.3375484299120736,0.7428314756532703,0.3140766707489317,0.38094688064355253,0.4150690331868524,0.33561828484634515
high_low_pct,0.5353754699950838,0.5604633889020283,0.3774595861522021,0.4059952354137441,0.45252200343757326,0.4426173189482095,0.9999999728908864,0.6645535318613964,0.45359938970312547,0.6243691260173809,0.5204843266001719,0.6329029028866668,0.4123687692143888,0.6229879879630381,0.42933770069802923,0.4689534478449421,0.37458579469245207,0.8373113016087685
MA10,0.5147962457859063,0.18609812741658138,0.23056174224872353,0.503311247082078,0.2565987536184663,0.24001786406178838,0.2509136462672741,0.20894207577052418,0.25740462954917526,0.4190390046364929,0.30321254200534636,0.26163928134949527,0.27157468819943514,0.2664379670719837,0.2385706479236421,0.18113415383660697,0.26506223789889677,0.6919723016737813
close_position,0.4999999878703414,0.7683914945128635,0.3600767782244919,0.74822210418235,0.5077311744293455,0.906094793622765,0.48977215504849186,0.49999998908382787,0.8361806388315187,0.44033620894090625,0.9999999745646999,0.6548233788504202,0.46443215544758537,0.44121319414469545,0.5886535792294767,0.8864576592487929,0.4293379457341846,0.6829595664408931
EMA12,0.46726646555277357,0.20214362250113108,0.74387123736838,0.2145305374690467,0.3412047301291768,0.62414888915175,0.24063408096917907,0.2670234944673671,0.2746272288466217,0.28645181504415684,0.19984286544385613,0.28979071945197843,0.4513042869950449,0.24034350871863927,0.220120526507566,0.20510085461146305,0.38894856495561503,0.300016936249822
volume_ratio,0.4603731589157209,0.8004269724716087,0.49999998995021105,0.43590475010014096,0.9925194792856677,0.4999999879305747,0.48218053724973187,0.4436437077577274,0.7572868449353302,0.4912739556961734,0.41681012310454024,0.4796347849838458,0.4999999867595355,0.4828426471898353,0.5414237018233451,0.362881592884421,0.4774060327575278,0.4554148789733521
BB_pct,0.4401812598010677,0.41767843646014596,0.37516763014288645,0.4650346109322449,0.4558423083520605,0.4401448956482457,0.6497598000891123,0.41706571343521537,0.3909291554392436,0.715366249920252,0.5134858281180918,0.45302585027693293,0.570860479295199,0.3946413241886893,0.3913192372225138,0.421381900496681,0.7270434253796572,0.4004254006866282
RSI,0.4191723950376197,0.56756820343865,0.4132309989992279,0.6606658545565478,0.40865571953832236,0.4346273295488865,0.4737862200379875,0.3801611724833935,0.42859015149638086,0.39391912063617895,0.34289194157874403,0.45569389772545943,0.7011076436828849,0.4291587880357587,0.9999999778201543,0.8374524103101051,0.3598440149263935,0.407346637548662
BB_upper,0.4146181161156468,0.23758426824710518,0.42898730621863473,0.3786099047095306,0.24097163259397134,0.28044046478805496,0.2613761999104768,0.28521684514310003,0.2602320584498375,0.7538069909139911,0.37208538708667094,0.29231646219303287,0.25457848242511066,0.704575862283965,0.2366170076967301,0.1923124186501088,0.3300849901087137,0.3013393752720108
volatility_20,0.4066328993243089,0.6848106701841601,0.36540492268607244,0.5084404510980003,0.41905882856704946,0.4456841140516544,0.42834715744737767,0.9150965992337453,0.42030834073672013,0.4437146284282823,0.3809136154051398,0.7805538101382521,0.3925219284760711,0.5827598143582738,0.37700907689739116,0.3265520522456631,0.409926245267121,0.5231963868646945
ATR,0.3887700493392867,0.2743223759929481,0.3129290595534064,0.8401196200129968,0.6298165382042621,0.3511016119642687,0.35860532914895094,0.3191675180218976,0.6345906095445568,0.4947419222769237,0.4065862914525715,0.605377901436011,0.4425187531872607,0.3628576195160492,0.4467125149428759,0.2923365248969168,0.49094562155330707,0.3784042206045048
MACD_signal,0.36971437393852186,0.42366338787640057,0.34796798962498454,0.5903079427439994,0.4201928564278181,0.8228360269431998,0.47304326640592603,0.515574944653566,0.35552720196684845,0.3704073744215185,0.3404485115501555,0.48322113765950003,0.36636155931631015,0.5340757106157947,0.290200755621179,0.2609333339601998,0.32357518646808675,0.34759926694023396
BB_width,0.3417865074391263,0.6900345233562377,0.35874507954885854,0.36858697964043396,0.4130349846872134,0.48715380745795855,0.8063662855471734,0.38482600405755585,0.34770672487379134,0.38624965404181083,0.3503638844187193,0.9111889439685079,0.426538348614857,0.3992745778051801,0.5889882818856338,0.4342560672361779,0.41586390191019257,0.4405402617361576
MACD_hist,0.3384952647057971,0.3160771953626328,0.3865909729872557,0.37980155207783173,0.5958844446198283,0.5970230860533415,0.4023683046139152,0.40504326337596513,0.4654919397672047,0.6935347779895624,0.35984758624769175,0.4327928653249573,0.44303692367149344,0.5184376892035231,0.46433485088264753,0.4194100214762763,0.5562052410306432,0.4687810023648477
MA60,0.3305255062335417,0.24519862515431154,0.65572393529444,0.3032387542561099,0.3963887785988912,0.4696285644482763,0.31509289621628306,0.2873256158419012,0.3419479858647183,0.3768784160359852,0.3340312652329552,0.393056539653092,0.32170817439602795,0.3455385030288133,0.28736392047811893,0.21919633819832576,0.2749186860840262,0.4990068715037046
BB_lower,0.3035915259366824,0.40702157339900125,0.3047360029541822,0.25128301147684334,0.3642602337366349,0.5310427865012807,0.2862953504391839,0.25709746839900216,0.27241375645981275,0.3523737528714104,0.22481031440119562,0.5970920643774935,0.6369182157653185,0.7684025138602562,0.2633137151488364,0.21306905166692336,0.48179480189802104,0.29843925900638996
MA5,0.2978947393059192,0.6959805821131545,0.37560548224037826,0.261228032480742,0.3120977245914855,0.24460570540474746,0.2608161920218046,0.3191009389173032,0.7679394405124655,0.5768185384994776,0.19944137893560862,0.2968129976435019,0.5019058143562317,0.5703673353965958,0.38489383132594274,0.3597004454200722,0.26173958708815376,0.6429647556473628
llm_score,0.28903439890293564,0.015715479271186963,0.3504434002248361,0.10676199334557798,0.1503756587419074,0.13126759058088075,0.2060822062596847,0.37753008333763255,0.0,0.0,0.42416489931287177,0.1914397385176525,0.49999996922662965,0.0,0.0,0.0,0.02181252910287294,0.4427379324554822
BB_middle,0.26298611320052684,0.18933307902702531,0.5154034262481033,0.25363942103232373,0.40446814379449914,0.22746394254241484,0.2024374335774777,0.3072455075471121,0.45335987196047256,0.48328007789133876,0.3994739047445155,0.26729377065363924,0.21945105595700048,0.24795546038938385,0.28632472252727714,0.19917664169367713,0.7717273370110928,0.7802445144604613
EMA26,0.2273699221381858,0.2429873732682466,0.4931401365934982,0.3273069494478503,0.25983241954349784,0.2183098768932132,0.2548568839699711,0.22634170771279116,0.25282773886538457,0.21542358158655245,0.4442259327206227,0.25300334522980794,0.39676554622249993,0.2675043275942723,0.2163421382727168,0.17853935956402772,0.2544605047059318,0.2755160678179197
MA20,0.22617023968719446,0.22338543207462658,0.507129609307302,0.2490550768077006,0.42232168224226385,0.22843707667447696,0.20104877432238727,0.3364930359056567,0.4700499421134757,0.47371014344979634,0.4112666428599252,0.255811976566612,0.1963223338882014,0.2435408094402905,0.2625931172613845,0.19646248002513927,0.7427384183645671,0.751006468508107
