,prob
2022-11-01,0.002210429171100259
2022-11-29,3.2802122973407677e-07
2022-12-27,4.517730849329382e-05
2023-02-01,1.2276855443360546e-07
2023-03-01,2.4065862636035718e-09
2023-03-29,6.195369994799194e-09
2023-04-27,6.887157866231064e-08
2023-05-30,2.529106097881595e-07
2023-06-29,4.0396616896032356e-07
2023-07-27,0.07430766522884369
2023-08-24,0.11582492291927338
2023-09-21,0.013715171255171299
2023-10-27,6.238752575882245e-06
2023-11-24,0.0042855641804635525
2023-12-22,2.1120556993992068e-05
2024-01-22,2.0210498519190878e-07
2024-02-27,1.4454162866606168e-10
2024-03-26,2.1327569044160555e-08
2024-04-25,5.556303861453671e-08
2024-05-28,3.2762773116701283e-06
2024-06-26,3.021465772690135e-06
2024-07-24,3.566560189938173e-05
2024-08-21,7.618968811584637e-05
2024-09-20,1.5771328207847546e-06
2024-10-25,1.4808362038820633e-06
2024-11-22,1.3955083488781383e-07
2024-12-20,1.8595821416056424e-07
2025-01-20,1.1577184011457575e-07
2025-02-25,5.761311285823467e-07
2025-03-25,0.08217626065015793
2025-04-23,0.06282676756381989
2025-05-26,0.033668551594018936
2025-06-24,5.531027227334562e-07
2025-07-22,0.0006489831721410155
2025-08-19,9.540882501823944e-07
2025-09-16,0.4323303699493408
2025-10-22,3.557191519121261e-07
2025-11-19,2.1583723537332844e-06
2025-12-17,2.326316064227285e-07
2026-01-16,4.827414159080945e-05
2026-02-13,2.8816968551836908e-05
2026-03-23,2.235683859908022e-05
2026-04-21,1.7413338132543643e-11
2026-05-22,0.13076823949813843
