,prob
2022-11-01,6.375510565703735e-05
2022-11-29,0.030097294598817825
2022-12-27,1.850877197284717e-05
2023-02-01,0.007008127402514219
2023-03-01,7.725331670371816e-06
2023-03-29,1.4453286212301464e-07
2023-04-27,5.778501872555353e-06
2023-05-30,8.579153814025631e-07
2023-06-29,2.9063730266898347e-07
2023-07-27,2.050584726021043e-06
2023-08-24,7.808109216966841e-07
2023-09-21,1.3762570461040013e-07
2023-10-27,3.6986611462452856e-07
2023-11-24,4.579431447382376e-07
2023-12-22,1.718591278176973e-07
2024-01-22,0.0012748901499435306
2024-02-27,0.10315478593111038
2024-03-26,9.463655601393839e-07
2024-04-25,8.883097990519673e-08
2024-05-28,7.778053827678377e-07
2024-06-26,3.753736166345334e-08
2024-07-24,1.5604480722686276e-05
2024-08-21,7.415479558403604e-06
2024-09-20,0.005002270452678204
2024-10-25,0.003498845035210252
2024-11-22,7.62774391205312e-07
2024-12-20,6.87185831793613e-07
2025-01-20,1.8771453369481605e-07
2025-02-25,2.9106806209711067e-07
2025-03-25,3.7339106029321556e-07
2025-04-23,3.291378561698366e-06
2025-05-26,4.281071994682861e-07
2025-06-24,7.283707645910908e-07
2025-07-22,6.859175414319907e-07
2025-08-19,9.339664757135324e-07
2025-09-16,0.05209551751613617
2025-10-22,3.372610535734566e-06
2025-11-19,0.09778375923633575
2025-12-17,1.644814119572402e-06
2026-01-16,1.612457651845034e-07
2026-02-13,4.655244083551224e-06
2026-03-23,2.3408872493746458e-06
2026-04-21,2.2783629901823588e-05
2026-05-22,1.0611736342980294e-06
