,prob
2022-11-01,0.0003932487452402711
2022-11-29,0.00015334627823904157
2022-12-27,0.26442500948905945
2023-02-01,0.1538897007703781
2023-03-01,0.10581956058740616
2023-03-29,4.2824686374842713e-07
2023-04-27,3.371499701643188e-07
2023-05-30,3.7016533838141186e-07
2023-06-29,2.343692102613204e-07
2023-07-27,4.0224350073003734e-07
2023-08-24,2.731597419369791e-07
2023-09-21,1.4897578694217373e-05
2023-10-27,1.11520641610241e-07
2023-11-24,1.1597056754908408e-06
2023-12-22,2.097414864010716e-07
2024-01-22,0.25873035192489624
2024-02-27,0.4799741506576538
2024-03-26,0.562725841999054
2024-04-25,0.4636148512363434
2024-05-28,0.4131978154182434
2024-06-26,1.6535096847292152e-06
2024-07-24,0.8465509414672852
2024-08-21,2.939367083065747e-10
2024-09-20,0.07276327908039093
2024-10-25,0.0004756069101858884
2024-11-22,1.8925858285001596e-06
2024-12-20,3.7430984889397223e-07
2025-01-20,5.64731863050838e-07
2025-02-25,1.703370742234256e-07
2025-03-25,0.14362171292304993
2025-04-23,0.09489206224679947
2025-05-26,1.5078039723448455e-06
2025-06-24,3.731039396370761e-05
2025-07-22,0.0015861033461987972
2025-08-19,0.23503263294696808
2025-09-16,0.4335424602031708
2025-10-22,0.0001118887375923805
2025-11-19,2.3088355760592094e-07
2025-12-17,2.2794812082338467e-07
2026-01-16,2.903821325617173e-07
2026-02-13,2.815613964202157e-09
2026-03-23,0.00538676418364048
2026-04-21,0.4217894673347473
2026-05-22,0.2835346758365631
