,prob
2022-11-01,0.05064205080270767
2022-11-29,0.000324932363582775
2022-12-27,0.212834432721138
2023-02-01,0.3499458432197571
2023-03-01,0.010831540450453758
2023-03-29,0.00046863354509696364
2023-04-27,1.6429296010755934e-05
2023-05-30,1.5374135386991838e-07
2023-06-29,0.0005909858155064285
2023-07-27,0.003306254046037793
2023-08-24,6.231459082073343e-08
2023-09-21,3.5599361999927304e-12
2023-10-27,8.1140160546056e-06
2023-11-24,1.835813634443184e-07
2023-12-22,9.77974252691638e-08
2024-01-22,0.0880599394440651
2024-02-27,0.12626014649868011
2024-03-26,0.017244821414351463
2024-04-25,3.172760989400558e-05
2024-05-28,3.296654824680445e-07
2024-06-26,1.776938773900838e-07
2024-07-24,2.6003860398304823e-07
2024-08-21,2.4479882654304674e-07
2024-09-20,2.0450917759262666e-07
2024-10-25,1.0519560191823984e-06
2024-11-22,2.3833644036130863e-07
2024-12-20,0.000240030130953528
2025-01-20,1.588722807355225e-05
2025-02-25,2.5239888304384728e-11
2025-03-25,1.5638552497421188e-07
2025-04-23,9.083145613431043e-08
2025-05-26,5.707716417557851e-12
2025-06-24,2.5261388714170607e-07
2025-07-22,2.387813857751553e-08
2025-08-19,0.08533633500337601
2025-09-16,1.8263558843045757e-07
2025-10-22,1.2129717674724816e-07
2025-11-19,1.446258238502196e-06
2025-12-17,3.3029909900506027e-06
2026-01-16,0.04016004502773285
2026-02-13,0.002046917797997594
2026-03-23,6.428738856811833e-07
2026-04-21,4.9452206440037116e-05
2026-05-22,2.691043903269019e-07
