,prob
2022-11-09,0.00018837975221686065
2022-12-07,0.000140893564093858
2023-01-05,3.4719016639428446e-06
2023-02-09,1.938613536367484e-07
2023-03-09,2.7532787498785183e-06
2023-04-07,9.45688839237846e-07
2023-05-10,4.994741630071076e-06
2023-06-07,1.157872361545742e-06
2023-07-07,1.7859701983979903e-07
2023-08-04,9.352954180030792e-07
2023-09-01,1.339493707064321e-07
2023-10-09,0.00022749170602764934
2023-11-06,6.982724443105326e-08
2023-12-04,1.6404763414357149e-07
2024-01-02,6.509675927190983e-07
2024-01-30,2.518054884603771e-07
2024-03-06,2.2189611570411216e-07
2024-04-03,1.6881465114693128e-07
2024-05-08,3.171589639805461e-07
2024-06-05,7.00650634826161e-05
2024-07-04,1.021285925162374e-06
2024-08-01,1.81786901976011e-07
2024-08-29,1.179275614049402e-06
2024-09-30,1.6812715841751924e-07
2024-11-04,0.0006146447267383337
2024-12-02,2.052737926305781e-07
2024-12-30,5.015740356384413e-08
2025-02-05,3.838461282157368e-07
2025-03-05,6.932323515229655e-08
2025-04-02,1.697168414693806e-07
2025-05-06,1.4756258224224439e-06
2025-06-04,0.16211549937725067
2025-07-02,0.4016611874103546
2025-07-30,0.00045807004789821804
2025-08-27,6.448215827958848e-08
2025-09-24,1.8290401726517302e-07
2025-10-30,3.5144660159858176e-06
2025-11-27,0.10408799350261688
2025-12-25,0.0023802288342267275
2026-01-26,9.668256950590148e-08
2026-03-03,4.570256066926959e-07
2026-03-31,0.19409525394439697
2026-04-29,0.015445777215063572
