,prob
2022-11-01,1.681537105469033e-05
2022-11-29,1.5597903257003054e-05
2022-12-27,0.00022513173462357372
2023-02-01,0.003823314094915986
2023-03-01,6.498817128886003e-06
2023-03-29,0.007582729682326317
2023-04-27,0.03505561128258705
2023-05-30,8.873849765222985e-06
2023-06-29,1.3610552969112177e-06
2023-07-27,8.668683335599781e-07
2023-08-24,1.1762075700971764e-05
2023-09-21,4.171294278876303e-07
2023-10-27,2.15515115087328e-06
2023-11-24,1.0865871900023194e-06
2023-12-22,7.649569511158916e-07
2024-01-22,2.229828623967478e-07
2024-02-27,2.2925728160316794e-07
2024-03-26,0.08094856142997742
2024-04-25,0.3568626046180725
2024-05-28,4.0934938283498923e-07
2024-06-26,0.007263382896780968
2024-07-24,1.8326508666177688e-07
2024-08-21,0.39793139696121216
2024-09-20,0.000677441421430558
2024-10-25,0.15719637274742126
2024-11-22,5.288813554216176e-05
2024-12-20,5.273982424114365e-06
2025-01-20,1.4558676184606156e-06
2025-02-25,0.24253307282924652
2025-03-25,0.1426263302564621
2025-04-23,0.13471245765686035
2025-05-26,0.17901656031608582
2025-06-24,8.127807814162225e-05
2025-07-22,4.943301610182971e-05
2025-08-19,8.817729394650087e-05
2025-09-16,4.5072551246860826e-10
2025-10-22,3.688413485747333e-08
2025-11-19,3.4189129110018257e-06
2025-12-17,3.606145810408634e-06
2026-01-16,0.01324145682156086
2026-02-13,0.6436517238616943
2026-03-23,1.4457506949838717e-05
2026-04-21,0.012746814638376236
2026-05-22,2.181477398721654e-08
