,prob
2022-11-01,8.310727025673259e-06
2022-11-29,0.0005214362172409892
2022-12-27,0.13918961584568024
2023-02-01,0.20574736595153809
2023-03-01,1.207732509556081e-07
2023-03-29,1.0054504855361301e-06
2023-04-27,0.0005062335985712707
2023-05-30,3.6283001048076358e-09
2023-06-29,8.996081305667758e-06
2023-07-27,0.002023768611252308
2023-08-24,3.7470879306056304e-06
2023-09-21,1.2702092533345422e-07
2023-10-27,5.867842446605209e-06
2023-11-24,3.512849957587605e-07
2023-12-22,2.410201659586164e-06
2024-01-22,4.1455325572314905e-07
2024-02-27,6.45079999230802e-05
2024-03-26,1.0485105121915694e-06
2024-04-25,3.2365224456043507e-07
2024-05-28,1.5778805391164497e-06
2024-06-26,1.694104128091567e-07
2024-07-24,6.848514431112562e-07
2024-08-21,3.6569406347553013e-07
2024-09-20,4.903266699329834e-07
2024-10-25,7.901678600319428e-07
2024-11-22,9.028199770000356e-07
2024-12-20,2.6547166271484457e-05
2025-01-20,7.257602874233271e-08
2025-02-25,0.4186953902244568
2025-03-25,1.6000741709376598e-07
2025-04-23,1.9579030663408048e-07
2025-05-26,2.239329660369549e-06
2025-06-24,1.3261770845929277e-06
2025-07-22,2.042263076873496e-06
2025-08-19,0.008975201286375523
2025-09-16,6.113955350883771e-06
2025-10-22,1.1799730827988242e-06
2025-11-19,1.3299040801939555e-07
2025-12-17,0.0005730365519411862
2026-01-16,0.00025092612486332655
2026-02-13,4.882562734564999e-06
2026-03-23,7.830817591591988e-12
2026-04-21,0.6145287752151489
2026-05-22,0.00043610422289930284
