,prob
2022-11-01,0.007272971794009209
2022-11-29,9.962360536519554e-07
2022-12-27,0.0005947179161012173
2023-02-01,5.1874540076823905e-05
2023-03-01,1.2049684983139741e-06
2023-03-29,1.7905541653817636e-06
2023-04-27,5.400701752478199e-07
2023-05-30,1.837926220105146e-07
2023-06-29,0.11598511785268784
2023-07-27,2.318713313798071e-06
2023-08-24,0.18371668457984924
2023-09-21,3.082009243371431e-07
2023-10-27,8.085521585599054e-07
2023-11-24,3.129996002826374e-06
2023-12-22,0.0035208093468099833
2024-01-22,2.043868562395801e-06
2024-02-27,4.193337190372404e-06
2024-03-26,2.7084076301142623e-11
2024-04-25,1.0824364520704334e-18
2024-05-28,1.0397027239150702e-07
2024-06-26,2.2782910491514485e-06
2024-07-24,3.3375360999343684e-06
2024-08-21,4.0458033367940516e-07
2024-09-20,1.3002983223486808e-06
2024-10-25,9.915574992191978e-07
2024-11-22,5.115744556860591e-07
2024-12-20,3.162739687923022e-07
2025-01-20,1.847662218779078e-07
2025-02-25,1.9010340679415094e-07
2025-03-25,1.0498732763153384e-06
2025-04-23,3.549258735802141e-07
2025-05-26,0.0005531230708584189
2025-06-24,1.8746223986454424e-06
2025-07-22,2.8902857138746185e-06
2025-08-19,2.0519796635198873e-06
2025-09-16,3.483016375316339e-10
2025-10-22,0.13297437131404877
2025-11-19,0.05039531737565994
2025-12-17,0.07826872169971466
2026-01-16,1.8434205628636846e-07
2026-02-13,0.0003138799802400172
2026-03-23,2.8187534553580917e-05
2026-04-21,0.34583407640457153
2026-05-22,0.06873069703578949
