,prob
2022-11-01,0.000833271536976099
2022-11-29,2.850348224114896e-08
2022-12-27,2.5156873663972124e-23
2023-02-01,0.28767308592796326
2023-03-01,0.0016804097685962915
2023-03-29,0.002565071452409029
2023-04-27,0.020881885662674904
2023-05-30,0.00013789570948574692
2023-06-29,2.457700531977025e-07
2023-07-27,7.496014831076536e-08
2023-08-24,0.0003439525607973337
2023-09-21,3.376842583335815e-09
2023-10-27,4.835707368929833e-14
2023-11-24,2.6066788430447602e-14
2023-12-22,1.746650324374599e-10
2024-01-22,3.120636041242797e-11
2024-02-27,3.73754096472112e-06
2024-03-26,0.00907814595848322
2024-04-25,1.4027951067419053e-07
2024-05-28,0.05463768541812897
2024-06-26,0.0008370417053811252
2024-07-24,0.0005337732145562768
2024-08-21,7.709734927630052e-05
2024-09-20,0.0007166177965700626
2024-10-25,0.029168251901865005
2024-11-22,0.046317845582962036
2024-12-20,9.46120408684692e-08
2025-01-20,1.301328211411601e-05
2025-02-25,0.0001104196926462464
2025-03-25,8.0489689935348e-06
2025-04-23,0.8313822746276855
2025-05-26,0.027966100722551346
2025-06-24,0.18271416425704956
2025-07-22,0.4100009799003601
2025-08-19,0.0896865725517273
2025-09-16,0.010870872065424919
2025-10-22,0.05473679304122925
2025-11-19,0.025269754230976105
2025-12-17,0.0007025358499959111
2026-01-16,0.005761365871876478
2026-02-13,2.189461338275578e-05
2026-03-23,0.0024317537900060415
2026-04-21,0.2031107246875763
2026-05-22,0.00042772560846060514
