stock,sharpe,annual_return,max_drawdown,win_rate,trades,config
A_sh.600036_招商银行,3.26,89.35,-3.92,35.0,39,完整模型
A_sh.600036_招商银行,2.65,67.04,-3.92,35.48,30,无状态自适应
A_sh.600036_招商银行,2.47,92.88,-8.49,35.0,38,无波动率目标
A_sh.600036_招商银行,3.26,89.35,-3.92,35.0,39,无止损失
A_sz.000858_五粮液,1.02,23.34,-4.13,41.46,40,完整模型
A_sz.000858_五粮液,0.16,4.28,-4.13,33.33,32,无状态自适应
A_sz.000858_五粮液,4.3,485.61,-4.13,41.46,39,无波动率目标
A_sz.000858_五粮液,1.0,22.8,-4.13,40.48,41,无止损失
A_sz.000001_平安银行,4.82,66.58,-0.54,40.54,36,完整模型
A_sz.000001_平安银行,0.3,6.88,-6.11,38.71,30,无状态自适应
A_sz.000001_平安银行,4.13,148.8,-3.35,40.54,34,无波动率目标
A_sz.000001_平安银行,4.83,67.04,-0.54,40.54,36,无止损失
A_sh.600030_中信证券,4.74,81.57,-2.51,40.54,36,完整模型
A_sh.600030_中信证券,3.12,45.42,-2.51,34.48,28,无状态自适应
A_sh.600030_中信证券,5.66,352.89,-3.8,40.54,36,无波动率目标
A_sh.600030_中信证券,4.74,81.57,-2.51,40.54,36,无止损失
A_sh.600519_贵州茅台,-0.51,-6.05,-2.56,35.14,36,完整模型
A_sh.600519_贵州茅台,-1.14,-14.66,-2.76,33.33,29,无状态自适应
A_sh.600519_贵州茅台,0.04,0.3,-8.38,35.14,36,无波动率目标
A_sh.600519_贵州茅台,-0.45,-5.25,-2.56,37.84,36,无止损失
A_sz.300750_宁德时代,5.66,248.09,-2.31,48.78,40,完整模型
A_sz.300750_宁德时代,3.31,135.48,-5.46,38.46,38,无状态自适应
A_sz.300750_宁德时代,2.52,195.49,-13.91,48.78,37,无波动率目标
A_sz.300750_宁德时代,5.68,249.13,-2.31,50.0,39,无止损失
A_sh.600887_伊利股份,6.34,184.04,-0.92,47.62,41,完整模型
A_sh.600887_伊利股份,4.95,136.49,-2.83,43.59,38,无状态自适应
A_sh.600887_伊利股份,7.68,870.85,-1.51,47.62,39,无波动率目标
A_sh.600887_伊利股份,6.38,185.37,-0.92,48.84,42,无止损失
A_sh.601012_隆基绿能,4.35,202.93,-4.99,43.9,40,完整模型
A_sh.601012_隆基绿能,4.33,200.58,-4.99,42.11,37,无状态自适应
A_sh.601012_隆基绿能,4.36,671.52,-8.35,43.9,39,无波动率目标
A_sh.601012_隆基绿能,4.37,204.38,-4.99,46.34,40,无止损失
A_sh.601688_华泰证券,0.71,14.14,-6.56,48.78,40,完整模型
A_sh.601688_华泰证券,-0.39,-4.53,-6.38,37.14,34,无状态自适应
A_sh.601688_华泰证券,4.51,332.26,-6.56,48.78,38,无波动率目标
