stock,完整模型,无止损失,无波动率目标,无状态自适应
A_sh.600030_中信证券,81.57,81.57,352.89,45.42
A_sh.600036_招商银行,89.35,89.35,92.88,67.04
A_sh.600519_贵州茅台,-6.05,-5.25,0.3,-14.66
A_sh.600887_伊利股份,184.04,185.37,870.85,136.49
A_sh.601012_隆基绿能,202.93,204.38,671.52,200.58
A_sh.601688_华泰证券,14.14,14.14,332.26,-4.53
A_sz.000001_平安银行,66.58,67.04,148.8,6.88
A_sz.000333_美的集团,39.7,39.7,318.79,35.63
A_sz.000568_泸州老窖,28.87,28.87,453.1,13.45
A_sz.000651_格力电器,-51.83,-51.83,-68.54,-46.29
A_sz.000858_五粮液,23.34,22.8,485.61,4.28
A_sz.002142_宁波银行,69.38,69.38,119.56,-12.46
A_sz.002594_比亚迪,89.78,92.1,297.72,117.24
A_sz.300059_东方财富,-24.38,-24.26,4.03,-1.1
A_sz.300750_宁德时代,248.09,249.13,195.49,135.48
US_AAPL_AAPL,79.93,80.41,197.62,46.86
US_MSFT_MSFT,-12.35,-11.77,-40.65,-27.79
US_NVDA_NVDA,38.41,37.5,74.23,17.37
