stock,完整模型,无止损失,无波动率目标,无状态自适应
A_sh.600030_中信证券,4.74,4.74,5.66,3.12
A_sh.600036_招商银行,3.26,3.26,2.47,2.65
A_sh.600519_贵州茅台,-0.51,-0.45,0.04,-1.14
A_sh.600887_伊利股份,6.34,6.38,7.68,4.95
A_sh.601012_隆基绿能,4.35,4.37,4.36,4.33
A_sh.601688_华泰证券,0.71,0.71,4.51,-0.39
A_sz.000001_平安银行,4.82,4.83,4.13,0.3
A_sz.000333_美的集团,1.34,1.34,4.33,1.22
A_sz.000568_泸州老窖,0.84,0.84,3.75,0.46
A_sz.000651_格力电器,-3.32,-3.32,-3.33,-2.96
A_sz.000858_五粮液,1.02,1.0,4.3,0.16
A_sz.002142_宁波银行,3.35,3.35,3.9,-0.74
A_sz.002594_比亚迪,2.8,2.85,4.18,4.22
A_sz.300059_东方财富,-1.02,-1.02,0.22,-0.22
A_sz.300750_宁德时代,5.66,5.68,2.52,3.31
US_AAPL_AAPL,4.07,4.1,3.67,2.48
US_MSFT_MSFT,-0.87,-0.83,-1.19,-1.82
US_NVDA_NVDA,0.84,0.82,1.09,0.52
