stock,cate,volatility,turnover,coverage,sector
A_sh.600036_招商银行,-715973.7803818621,1.6697467963016295,1.0045012688283201,25.0,bank
A_sz.000001_平安银行,-181907.6657900152,1.6428575035625725,1.0059722483789362,25.0,bank
A_sz.002142_宁波银行,-101064.69506138773,1.9767703042427691,1.0047384919466396,25.0,bank
A_sh.600030_中信证券,1369859.9349212823,1.776493009291318,1.0083793233902907,15.0,securities
A_sh.601688_华泰证券,-1488345.7383680851,1.8034430602755778,1.0071194635698906,15.0,securities
A_sz.300059_东方财富,-346290.7629321662,2.721923489638843,1.0063493189790196,15.0,securities
A_sh.600519_贵州茅台,187040.76202904983,1.6595376761331504,1.0047046037457927,20.0,liquor
A_sz.000858_五粮液,-1335370.6830908773,2.02009035190344,1.0065434489816107,20.0,liquor
A_sz.000568_泸州老窖,251996.87336236855,2.3814914524114728,1.0038659903227138,20.0,liquor
A_sz.000333_美的集团,-333904.3695265168,1.7240633569423112,1.0039065087566401,15.0,consumer
A_sz.000651_格力电器,-419723.2859765406,1.5409314653559611,1.0064454244107315,15.0,consumer
A_sh.600887_伊利股份,1869436.794527148,1.506428362070451,1.0042079657909733,15.0,consumer
A_sz.300750_宁德时代,292746.16556792666,2.643678698263381,1.005502589150901,15.0,new_energy
A_sz.002594_比亚迪,-533903.191379962,2.3937073275852554,1.0037724020830312,15.0,new_energy
A_sh.601012_隆基绿能,-136674.91286488716,2.5772239648841007,1.0063402987286776,15.0,new_energy
US_AAPL_AAPL,-1108378.3512659287,1.724085227576695,1.0038864574569697,30.0,us_tech
US_MSFT_MSFT,488018.69144027255,1.6641520704574349,1.00538358208742,30.0,us_tech
US_NVDA_NVDA,927955.8705190085,3.2385945329230097,1.0037852359129928,30.0,us_tech
