sharpe_ratio,annual_return,max_drawdown,win_rate,total_trades,repeat_id,seed
1.96,1.0466,-0.0542,0.4545,40.0,0,42
3.65,2.6319,-0.085,0.4318,39.0,1,43
-0.56,-0.2638,-0.10619999999999999,0.3864,40.0,2,44
-0.42,-0.18960000000000002,-0.06860000000000001,0.46509999999999996,40.0,3,45
1.93,0.9555,-0.0536,0.4318,40.0,4,46
4.28,4.3318,-0.0866,0.5,39.0,5,47
3.11,1.9875999999999998,-0.0592,0.34090000000000004,40.0,6,48
0.12,0.0102,-0.1198,0.40909999999999996,41.0,7,49
5.83,5.3737,-0.049100000000000005,0.5455,39.0,8,50
1.56,0.4978,-0.07769999999999999,0.41859999999999997,41.0,9,51
-0.78,-0.30079999999999996,-0.0592,0.4318,41.0,10,52
1.58,0.6973999999999999,-0.0536,0.4318,39.0,11,53
3.18,1.8665,-0.0541,0.3488,40.0,12,54
-1.29,-0.3764,-0.0728,0.3182,41.0,13,55
2.57,1.2178,-0.0432,0.4318,37.0,14,56
1.86,0.9457,-0.1247,0.4318,41.0,15,57
-2.68,-0.6812999999999999,-0.1485,0.34090000000000004,40.0,16,58
2.28,0.6312,-0.09359999999999999,0.3953,41.0,17,59
1.87,0.664,-0.053399999999999996,0.44189999999999996,39.0,18,60
0.1,0.0084,-0.0669,0.3864,39.0,19,61
