stock,Vanilla_PatchTST,LSTM,MA_Crossover,Momentum,Ours_Adaptive
A_sh.600036_招商银行,-1.1,-1.39,3.99,3.83,2.8
A_sz.000858_五粮液,2.33,3.68,4.51,4.57,0.14
A_sz.000001_平安银行,0.35,-3.29,3.22,3.9,0.49
A_sh.600030_中信证券,-0.3,-0.16,4.22,3.99,1.44
A_sh.600519_贵州茅台,0.69,3.04,3.48,3.32,1.75
A_sz.300750_宁德时代,-0.87,1.77,3.83,4.08,3.05
A_sh.600887_伊利股份,2.04,5.53,2.67,3.0,6.34
A_sh.601012_隆基绿能,5.4,5.54,4.88,4.65,4.35
A_sh.601688_华泰证券,-2.07,-1.11,4.07,3.58,0.71
A_sz.000333_美的集团,-0.21,-4.08,3.91,3.71,1.34
A_sz.000568_泸州老窖,6.36,5.09,5.15,5.45,0.84
A_sz.000651_格力电器,-4.97,-3.32,3.17,3.7,-3.32
A_sz.002142_宁波银行,4.74,5.87,3.52,3.99,3.35
A_sz.002594_比亚迪,-2.31,-0.64,3.85,3.99,2.8
A_sz.300059_东方财富,6.55,2.02,4.49,4.27,-1.02
US_AAPL_AAPL,-0.33,-2.7,3.72,3.75,4.07
US_MSFT_MSFT,-2.37,0.12,3.43,3.33,0.31
US_NVDA_NVDA,4.14,-1.38,4.14,4.27,0.8
AVERAGE,1.0038888888888888,0.8105555555555556,3.9027777777777777,3.9655555555555555,1.68
